"name","rating","year"
"The Kashmir Files","8.9","(2022)"
"Jai Bhim","8.5","(2021)"
"Anbe Sivam","8.4","(2003)"
"Pariyerum Perumal","8.4","(2018)"
"Golmaal","8.4","(1979)"
"Nayakan","8.4","(1987)"
"3 Idiots","8.4","(2009)"
"Apur Sansar","8.4","(1959)"
"Soorarai Pottru","8.4","(2020)"
"C/o Kancharapalem","8.3","(2018)"
"Kumbalangi Nights","8.3","(2019)"
"Black Friday","8.3","(2004)"
"Manichitrathazhu","8.3","(1993)"
"Jersey","8.3","(2019)"
"Taare Zameen Par","8.3","(2007)"
"#Home","8.3","(2021)"
"Kaithi","8.3","(2019)"
"Kireedam","8.3","(1989)"
"Dangal","8.3","(2016)"
"Asuran","8.3","(2019)"
"Sardar Udham","8.3","(2021)"
"Sarpatta Parambarai","8.3","(2021)"
"Pather Panchali","8.3","(1955)"
"96","8.3","(2018)"
"Thevar Magan","8.3","(1992)"
"Thalapathi","8.3","(1991)"
"Visaaranai","8.3","(2015)"
"Natsamrat","8.3","(2016)"
"Drishyam 2","8.3","(2021)"
"Thani Oruvan","8.2","(2015)"
"Vada Chennai","8.2","(2018)"
"Peranbu","8.2","(2018)"
"Aparajito","8.2","(1956)"
"Jaane Bhi Do Yaaro","8.2","(1983)"
"Khosla Ka Ghosla!","8.2","(2006)"
"Agent Sai Srinivasa Athreya","8.2","(2019)"
"Ratsasan","8.2","(2018)"
"Mahanati","8.2","(2018)"
"Anniyan","8.2","(2005)"
"Chupke Chupke","8.2","(1975)"
"Super Deluxe","8.2","(2019)"
"Bangalore Days","8.2","(2014)"
"Aruvi","8.2","(2016)"
"Satya","8.1","(1998)"
"Premam","8.1","(2015)"
"Drishyam","8.1","(2013)"
"Devasuram","8.1","(1993)"
"Chhichhore","8.1","(2019)"
"Vikram Vedha","8.1","(2017)"
"Bhaag Milkha Bhaag","8.1","(2013)"
"Chithram","8.1","(1988)"
"Kannathil Muthamittal","8.1","(2002)"
"Andhadhun","8.1","(2018)"
"Iruvar","8.1","(1997)"
"Tumbbad","8.1","(2018)"
"Gangs of Wasseypur","8.1","(2012)"
"Guide","8.1","(1965)"
"Drishyam","8.1","(2015)"
"Paan Singh Tomar","8.1","(2012)"
"Shahid","8.1","(2012)"
"Sairat","8.1","(2016)"
"Spadikam","8.1","(1995)"
"Mudhalvan","8.1","(1999)"
"Swades: We, the People","8.1","(2004)"
"Pudhu Pettai","8.1","(2006)"
"Zindagi Na Milegi Dobara","8.1","(2011)"
"Dhuruvangal Pathinaaru","8.1","(2016)"
"Chak De! India","8.1","(2007)"
"Uri: The Surgical Strike","8.1","(2019)"
"Papanasam","8.1","(2015)"
"Soodhu Kavvum","8.1","(2013)"
"Mandela","8.1","(2021)"
"Black","8.1","(2005)"
"Jo Jeeta Wohi Sikandar","8.1","(1992)"
"OMG: Oh My God!","8.1","(2012)"
"Pyaasa","8.1","(1957)"
"Jigarthanda","8.1","(2014)"
"Queen","8.1","(2013)"
"Article 15","8.1","(2019)"
"Kaakkaa Muttai","8.1","(2014)"
"Theeran Adhigaaram Ondru","8.1","(2017)"
"Shershaah","8.1","(2021)"
"Talvar","8.1","(2015)"
"PK","8.1","(2014)"
"Munna Bhai M.B.B.S.","8.1","(2003)"
"Pithamagan","8.1","(2003)"
"Sarfarosh","8.1","(1999)"
"Lagaan: Once Upon a Time in India","8.1","(2001)"
"Ustad Hotel","8.1","(2012)"
"Baasha","8.1","(1995)"
"Hera Pheri","8.1","(2000)"
"Barfi!","8.1","(2012)"
"Oru Vadakkan Veeragatha","8.1","(1989)"
"Udaan","8.1","(2010)"
"Sholay","8.0","(1975)"
"The Legend of Bhagat Singh","8.0","(2002)"
"Angoor","8.0","(1982)"
"K.G.F: Chapter 1","8.0","(2018)"
"Maheshinte Prathikaaram","8.0","(2016)"
"Rang De Basanti","8.0","(2006)"
"Masaan","8.0","(2015)"
"Virumandi","8.0","(2004)"
"Dil Chahta Hai","8.0","(2001)"
"Baahubali 2: The Conclusion","8.0","(2017)"
"Kahaani","8.0","(2012)"
"Nil Battey Sannata","8.0","(2015)"
"Roja","8.0","(1992)"
"A Wednesday","8.0","(2008)"
"Pink","8.0","(2016)"
"Lage Raho Munna Bhai","8.0","(2006)"
"Iqbal","8.0","(2005)"
"Maanaadu","8.0","(2021)"
"Alai Payuthey","8.0","(2000)"
"Dil Bechara","8.0","(2020)"
"Anand","8.0","(1971)"
"Section 375","8.0","(2019)"
"Charulata","8.0","(1964)"
"Bommarillu","8.0","(2006)"
"Dilwale Dulhania Le Jayenge","8.0","(1995)"
"Omkara","8.0","(2006)"
"Rangasthalam","8.0","(2018)"
"Bajrangi Bhaijaan","8.0","(2015)"
"Haider","8.0","(2014)"
"Bombay","8.0","(1995)"
"Lucia","8.0","(2013)"
"Indian","8.0","(1996)"
"The Great Indian Kitchen","8.0","(2021)"
"Vaaranam Aayiram","8.0","(2008)"
"Athadu","8.0","(2005)"
"Special Chabbis","8.0","(2013)"
"Thadam","8.0","(2019)"
"Mughal-E-Azam","8.0","(1960)"
"Pelli Choopulu","8.0","(2016)"
"Padayappa","7.9","(1999)"
"Maqbool","7.9","(2003)"
"Andaz Apna Apna","7.9","(1994)"
"Gulaal","7.9","(2009)"
"Android Kunjappan Version 5.25","7.9","(2019)"
"Naduvula Konjam Pakkatha Kaanom","7.9","(2012)"
"Kshanam","7.9","(2016)"
"Pranchiyettan and the Saint","7.9","(2010)"
"Badhaai ho","7.9","(2018)"
"Ulidavaru Kandanthe","7.9","(2014)"
"Evaru","7.9","(2019)"
"Aadukalam","7.9","(2011)"
"Vaastav: The Reality","7.9","(1999)"
"Deewaar","7.9","(1975)"
"Company","7.9","(2002)"
"Kal Ho Naa Ho","7.9","(2003)"
"My Name Is Khan","7.9","(2010)"
"Padosan","7.9","(1968)"
"Ugly","7.9","(2013)"
"Maanagaram","7.9","(2017)"
"Thondimuthalum Dhriksakshiyum","7.9","(2017)"
"Gully Boy","7.9","(2019)"
"Arjun Reddy","7.9","(2017)"
"Karnan","7.9","(2021)"
"Nayattu","7.9","(2021)"
"Dev.D","7.9","(2009)"
"Thulladha Manamum Thullum","7.9","(1999)"
"Poove Unakkaga","7.9","(1996)"
"Take Off","7.9","(2017)"
"Super 30","7.9","(2019)"
"Baishe Srabon","7.9","(2011)"
"Manjhi: The Mountain Man","7.9","(2015)"
"Deiva Thirumagal","7.9","(2011)"
"Vedam","7.9","(2010)"
"Jab We Met","7.9","(2007)"
"Mukkabaaz","7.9","(2017)"
"Padman","7.8","(2018)"
"Baby","7.8","(2015)"
"Ayyappanum Koshiyum","7.8","(2020)"
"Kirik Party","7.8","(2016)"
"Border","7.8","(1997)"
"Charlie","7.8","(2015)"
"Kaakha..Kaakha: The Police","7.8","(2003)"
"Hey Ram","7.8","(2000)"
"Malik","7.8","(2021)"
"Ship of Theseus","7.8","(2012)"
"M.S. Dhoni: The Untold Story","7.8","(2016)"
"Jalsaghar","7.8","(1958)"
"Airlift","7.8","(2016)"
"Ankhon Dekhi","7.8","(2013)"
"Bãhubali: The Beginning","7.8","(2015)"
"Pizza","7.8","(2012)"
"Vinnaithaandi Varuvaayaa","7.8","(2010)"
"Ghilli","7.8","(2004)"
"Memories","7.8","(2013)"
"Lakshya","7.8","(2004)"
"Joseph","7.8","(2018)"
"Hindi Medium","7.8","(2017)"
"Sonchiriya","7.8","(2019)"
"Dor","7.8","(2006)"
"English Vinglish","7.8","(2012)"
"Johnny Gaddaar","7.8","(2007)"
"Anjaam Pathiraa","7.8","(2020)"
"Mumbai Police","7.8","(2013)"
"The Tashkent Files","7.8","(2019)"
"Kaththi","7.8","(2014)"
"Okkadu","7.8","(2003)"
"Gangaajal","7.8","(2003)"
"Vettaiyaadu Vilaiyaadu","7.8","(2006)"
"Thuppakki","7.8","(2012)"
"Unnaipol Oruvan","7.8","(2009)"
"Veer-Zaara","7.8","(2004)"
"Pokiri","7.8","(2006)"
"Minnal Murali","7.8","(2021)"
"Dia","7.8","(2020)"
"Mimi","7.8","(2021)"
"Angamaly Diaries","7.8","(2017)"
"Secret Superstar","7.8","(2017)"
"Manam","7.8","(2014)"
"Ab Tak Chhappan","7.8","(2004)"
"Hridayam","7.7","(2022)"
"The Lunchbox","7.7","(2013)"
"Mother India","7.7","(1957)"
"Vicky Donor","7.7","(2012)"
"RangiTaranga","7.7","(2015)"
"Aayirathil Oruvan","7.7","(2010)"
"Kai po che!","7.7","(2013)"
"Badla","7.7","(2019)"
"Happy Days","7.7","(2007)"
"Colour Photo","7.7","(2020)"
"Nayak: The Real Hero","7.7","(2001)"
"Udta Punjab","7.7","(2016)"
"Mr. India","7.7","(1987)"
"Stanley Ka Dabba","7.7","(2011)"
"Rock On!!","7.7","(2008)"
"24","7.7","(2016)"
"Dasvidaniya","7.7","(2008)"
"Joji","7.7","(2021)"
"Goodachari","7.7","(2018)"
"Raazi","7.7","(2018)"
"Kushi","7.7","(2000)"
"Ennu Ninte Moideen","7.7","(2015)"
"Ko","7.7","(2011)"
"Kabhi Haan Kabhi Naa","7.7","(1994)"
"Velaiilla Pattadhari","7.7","(2014)"
"Don","7.7","(1978)"
"Arya","7.7","(2004)"
"Aligarh","7.7","(2015)"
"Guru","7.7","(2007)"
"Kapoor & Sons","7.7","(2016)"
"Oye Lucky! Lucky Oye!","7.6","(2008)"
"Rockstar","7.6","(2011)"
"Darr","7.6","(1993)"
"Baazigar","7.6","(1993)"
"Eega","7.6","(2012)"
"Newton","7.6","(2017)"
"Samsara","7.6","(2001)"
